Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002459;;75008;9;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Élargissement de trottoir et création d'une vélorue;rue d'Amsterdam;Entre rue de Londres et rue St Lazarepar phases;2023-02-27;2023-06-09;SENS_UNIQUE;"Depuis rue de Londres vers rue St Lazare
Fermeture de la rue d'Amsterdam en journée du 05/06 au 09/06";1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR RV - Amsterdam phase 3 v2.pdf;"{""coordinates"": [[[[2.3268784688566457, 48.87771800434935], [2.32689512221268, 48.87771391157602], [2.3268825459661486, 48.87772410139226], [2.3270159040572094, 48.87770831596302], [2.326885782169951, 48.8758064152367], [2.326774092304693, 48.875628559101436], [2.3266674222431805, 48.875692405718006], [2.3268115378040934, 48.87588118508979], [2.3268784688566457, 48.87771800434935]]], [[[2.3268785281667386, 48.87771963967643], [2.326878707332502, 48.87772455555731], [2.3268823834672077, 48.87772412026395], [2.3268785281667386, 48.87771963967643]]], [[[2.3268824412328275, 48.87772418713964], [2.3268786726507003, 48.87772723898213], [2.326882777047406, 48.87772457844051], [2.3268824412328275, 48.87772418713964]]], [[[2.3268784688566457, 48.87771800434935], [2.3268773568072483, 48.8777182777901], [2.3268785281667386, 48.87771963967643], [2.3268784688566457, 48.87771800434935]]], [[[2.3268823834672077, 48.87772412026395], [2.3268824412328275, 48.87772418713964], [2.3268825459661486, 48.87772410139226], [2.3268823834672077, 48.87772412026395]]]], ""type"": ""MultiPolygon""}";48.87674147253893, 2.3268894105728504
CP002466;811036;75015;13;1;Mairie de Paris;REAMENAGEMENT_VOIRIE;Pérennisation piste cyclable + tapis;rue de Vaugirard;Entre la rue des Volontaires et la rue Abbé Groult;2023-02-23;2023-07-01;BARRAGE_TOTAL;"A. Groult à Cambronne (tapis) 23/02 > 01/07
Favorites à Cambronne (Infra) 23/02 > 03/04
Cambronne à Volontaires (Infra) 23/02 > 1/07
Volontaires à Pasteur (Infra) 17/04 > 01/07";1;2;;"{""coordinates"": [[[2.308061651858752, 48.84157100047559], [2.308109367201029, 48.841507027439604], [2.3081112170903175, 48.84150346854895], [2.305050904055012, 48.84060904830902], [2.3048771696390875, 48.8405248292815], [2.303204210397946, 48.84003999716482], [2.302640496862516, 48.83992666176847], [2.3024589956845065, 48.83981555217936], [2.302046232694425, 48.839665514810996], [2.301963977099507, 48.83973482323387], [2.3017776576086653, 48.83968005246163], [2.300405013047895, 48.83919527733191], [2.3001756102196116, 48.839097562523555], [2.299942524889946, 48.839005774146614], [2.298602667720331, 48.83832545128945], [2.2984517020005977, 48.83823937664262], [2.2983417363983674, 48.8383210654859], [2.298525678907857, 48.83842113540386], [2.2990798021064514, 48.83871183789351], [2.299344080014462, 48.83884283619596], [2.2999171617160474, 48.83911841665135], [2.300246908564154, 48.839260265599734], [2.3005180835627055, 48.83936131835684], [2.3006580200490063, 48.83941020429161], [2.3006797819486438, 48.83940033771744], [2.300737935133009, 48.83941876221018], [2.3007665159542774, 48.83943796624687], [2.300775638814836, 48.8394565798727], [2.3011330735197295, 48.83957717235611], [2.301523474121997, 48.83971270950531], [2.3020545238234895, 48.83989808530827], [2.302203949798837, 48.839938458267305], [2.302917778041254, 48.84009681703711], [2.3031592621323345, 48.840154382428025], [2.304126031684837, 48.84043080760955], [2.304130331929222, 48.84043273568959], [2.308061651858752, 48.84157100047559]]], ""type"": ""Polygon""}";48.83993949602202, 2.3027797197263706
CP002530;833081;75008;9;3;AG2R;REHABILITATION_IMMEUBLE;Travaux de curage;rue d'Anjou;du 74 au 76;2023-08-21;2023-12-31;RESTREINTE;Maintien de 4,00m;2;2;;"{""coordinates"": [[[[2.322879614448012, 48.87476042981404], [2.3229423621968954, 48.87477693506757], [2.3228507073238793, 48.874486622519576], [2.3227948291958285, 48.87448392676096], [2.322879614448012, 48.87476042981404]]], [[[2.3229423621968954, 48.87477693506757], [2.322942521951075, 48.87477744139976], [2.322944325611328, 48.874777451601325], [2.3229423621968954, 48.87477693506757]]]], ""type"": ""MultiPolygon""}";48.87462809857072, 2.3228674492215666
CP001840;329624;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;Rue Bassano;Entre Champs Elysées et Vernet;2021-02-11;2023-03-31;;;;2;;"{""coordinates"": [[[2.300177099535803, 48.87179744424186], [2.300177083550987, 48.87179863398033], [2.3002423429815932, 48.87177403083425], [2.3000338700130114, 48.871450387179046], [2.299938127929378, 48.87146172468321], [2.300177099535803, 48.87179744424186]]], ""type"": ""Polygon""}";48.87161455097908, 2.300093157220532
CP002431;;75007;12;1;STV-S;TRAVAUX_URGENCE;Affaissement sur chaussée au niveau du passage piétons;Avenue de la Bourdonnais;Au n° 42;2022-11-30;2022-12-09;BARRAGE_TOTAL;"Fermeture depuis l'avenue Joseph Bouvard (sens inverse circulé par Bus + vélos)
PP provisoire mis en place au n° 44 > 59 av de la Bourdonnais";1;2;;"{""coordinates"": [[[2.300436868882115, 48.85738463429441], [2.3005056992992268, 48.85741501847969], [2.3005333782553468, 48.85739471633848], [2.300466712057672, 48.85736434482023], [2.300436868882115, 48.85738463429441]]], ""type"": ""Polygon""}";48.85738963874837, 2.3004854545129785
CP002497;813499;75008;13;2;ENEDIS;INSPECTION_ENTRETIEN_RESEAU;Travaux sur réseau au niveau des traversées piétonnes de Cours la Reine;Cours la Reine;Sur le CR de Cours la Reine, av W. Churchill et pont Alexandre III;2023-06-01;2023-07-31;RESTREINTE;Traversées en 1/2 chaussée sans barrage total;2;2;;"{""coordinates"": [[[2.313272727905146, 48.86504868079077], [2.3133411873191205, 48.86505383203786], [2.3133395892593414, 48.86462788705387], [2.3134013836719918, 48.86459135930109], [2.313855836493906, 48.86459039608381], [2.3138587053106647, 48.86450950804759], [2.313274125587786, 48.864532330699], [2.313272727905146, 48.86504868079077]]], ""type"": ""Polygon""}";48.86466952891787, 2.3134613975493266
CP002513;821763;75015;13;3;NV BESIX;CONSTRUCTION_IMMEUBLE;Tour triangle;Rue d'Oradour sur Glane;Emprise située entre le 31 et 35 rue d'Oradour sur Glane;2023-06-01;2023-09-01;RESTREINTE;Impact sur le trottoir et sur la chaussée qui a une circulation restreinte;2;2;;"{""coordinates"": [[[2.284437296378733, 48.83073817436931], [2.2843811921020545, 48.83067878637683], [2.2837637478513586, 48.83093545774772], [2.2838320839853115, 48.83099223551874], [2.284437296378733, 48.83073817436931]]], ""type"": ""Polygon""}";48.830836713921045, 2.2841019775762783
CP002225;657954;75015;13;2;Eau de Paris;ENTRETIEN_RESEAU;;Rue de la Convention;Au N°181;2022-07-04;2023-05-12;RESTREINTE;Maintien de 3,20m dans chaque sens.;1;2;;"{""coordinates"": [[[2.295479386278059, 48.837744890373806], [2.29545468440474, 48.83772317164631], [2.2954024268768882, 48.83771366415922], [2.2952142796594037, 48.83780043875859], [2.2952627302037687, 48.83784292365037], [2.295479377659876, 48.83774552797773], [2.295479386278059, 48.837744890373806]]], ""type"": ""Polygon""}";48.83777410736606, 2.295344601047701
CP002438;748185;75015;13;2;CPCU;ENTRETIEN_RESEAU;Réparation fuite sur retour d'eau;Rue Ranelagh;Au 66-68;2022-12-19;2023-03-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.2726972075974885, 48.85496046717785], [2.272672980647936, 48.85493938011063], [2.2724333998051676, 48.855001219681895], [2.2724655580899804, 48.85502235592016], [2.272695031564903, 48.85496140637403], [2.2726964800440403, 48.85496093851724], [2.2726972075974885, 48.85496046717785]]], ""type"": ""Polygon""}";48.85498119843015, 2.2725660919693897
CP002505;;75008;9;1;STV;REAMENAGEMENT_VOIRIE;sécurisation du carrefour avec pose d'ilots;Avenue Hoche;Angle Beaujon;2023-06-05;2023-08-11;RESTREINTE;;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR Hoche-Beaujon (sécurisation).pdf;"{""coordinates"": [[[[2.2986789206299507, 48.875450941503466], [2.298979650442385, 48.87526899009673], [2.2982133584149063, 48.87493066907897], [2.2978589239466727, 48.87513203967248], [2.2986789206299507, 48.875450941503466]]], [[[2.298979650442385, 48.87526899009673], [2.2989807781161162, 48.875269487740866], [2.2989807941293225, 48.875268298006254], [2.298979650442385, 48.87526899009673]]]], ""type"": ""MultiPolygon""}";48.8751924166119, 2.2984238887427066
CP002525;;75008;9;1;Mairie de Paris;EVENEMENTIEL;Test EVEN JOP Triathlon;Cours la Reine;Cours la Reine, pont Alexandre III et quai d'Orsay;2023-07-10;2023-08-31;BARRAGE_TOTAL;Barrage cours la Reine, pont Alexandre III et quai d'Orsay;1;2;;"{""coordinates"": [[[2.310426977766905, 48.86499168384615], [2.313495144923471, 48.865046916104305], [2.3135009479201027, 48.864606560152275], [2.3104571545051016, 48.86455683831562], [2.310426977766905, 48.86499168384615]]], ""type"": ""Polygon""}";48.864800843799216, 2.311973005385207
CP002449;785942;75008;9;2;CPCU;TRAVAUX_OUVRAGE;Travaux sur réseau chauffage;Avenue des Champs Elysées;Au niveau du n° 15;2023-02-27;2023-04-28;RESTREINTE;"1 voie de circulation impacté + piste cyclable (déviée dans circulation Gle)
Perches à prévoir
1/2 passages piétons praticables";2;2;;"{""coordinates"": [[[2.3090533500593824, 48.86923091509933], [2.3093473462923413, 48.86913822382852], [2.3093255624059617, 48.86910359475129], [2.309017746393949, 48.8691958095784], [2.309051746478907, 48.86921583551672], [2.3090533500593824, 48.86923091509933]]], ""type"": ""Polygon""}";48.86916700266295, 2.3091858542828074
CP002470;815064;75008;9;1;Mission vélo;REAMENAGEMENT_VOIRIE;Aménagement de voirie pour circulations piétons, vélos, bus, ...;Rue d'Amsterdam;Entre la rue de Milan et la rue de Liège;2023-04-03;2023-06-02;SENS_UNIQUE;Travaux en 2 phases (basculement le 09/05/23) avec mise en sens unique à chaque phase en laissant 3ml de circulation, sur chaussée;2;2;;"{""coordinates"": [[[2.326713708005788, 48.87954336778098], [2.326729672432701, 48.879567614599175], [2.3269368182554837, 48.87959830364301], [2.327058895011921, 48.87959898991113], [2.327037231333224, 48.87875606963767], [2.327244478112033, 48.87877870700563], [2.3272246186015204, 48.878741018464204], [2.3270335430152382, 48.878726524617036], [2.326931779863896, 48.878728636138526], [2.326966031572669, 48.879542102065955], [2.3269372344855888, 48.87956609720354], [2.326713708005788, 48.87954336778098]]], ""type"": ""Polygon""}";48.87915694202732, 2.3269974224229872
CP002514;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;création d'un passage piétons et reprise de chaussée;avenue Winston Churchill;Entre l'avenue du Général Eisenhower et Cours La Reine;2023-07-03;2023-08-01;RESTREINTE;"En 2 phases pour les travaux préparatoires de jour, avec maintien de 4,00m dans chaque sens.
Du 24/07 au 01/08 travaux de nuit sous fermeture totale.";2;2;;"{""coordinates"": [[[[2.313548697557658, 48.865104359753225], [2.313767301672893, 48.866990138785155], [2.314118432288324, 48.866965851920455], [2.31387435610712, 48.86510085716032], [2.313548697557658, 48.865104359753225]]], [[[2.313767301672893, 48.866990138785155], [2.3137599186222406, 48.86699064955161], [2.3137679883422284, 48.86699606671718], [2.313767301672893, 48.866990138785155]]]], ""type"": ""MultiPolygon""}";48.86605322920918, 2.3138284885681193
CP002528;831609;75015;13;2;RATP HTA;CREATION_RESEAUX;Renforcement réseau;Avenue du Maine/ rue Antoine Bourdelle;du 21 au 31 / du 1 au 5b;2023-07-31;2023-11-17;RESTREINTE;Traversée avenue du Maine en 3 phases.;2;2;;"{""coordinates"": [[[2.320386276272195, 48.84319205225712], [2.3193161608737354, 48.84300631005132], [2.3193103181191295, 48.84303959109515], [2.3206376436245333, 48.843268436685726], [2.320588530720174, 48.84344067664163], [2.320629863154601, 48.84345043025009], [2.320960049516706, 48.84273486249634], [2.3209023085985767, 48.84273929417193], [2.32067981331823, 48.84321394619878], [2.320386276272195, 48.84319205225712]]], ""type"": ""Polygon""}";48.84312206624551, 2.320365825748526
