ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07149;2022-02-02T13:00:00+01:00;102620;10.0;0;290;4.9;283.35;280.95;85;25000.0;1;2;2;100.0;7;450.0;35;;;101520.0;;;170.0;;;;;;;;7.6;9.2;-10.0;1;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;7.0;6;390.0;;;;;;;;;;48.716833, 2.384333;ORLY;En hausse, puis en baisse la pression atmosphérique est la même ou plus haute que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;10.200000000000045;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-12T01:00:00+01:00;103390;-90.0;6;90;1.1;274.75;272.65;86;17000.0;2;2;2;75.0;0;7000.0;30;20;11;102240.0;;;540.0;;;;;;;;1.7;1.7;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;6.0;0;7000.0;;;;;;;;;;48.716833, 2.384333;ORLY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;1.6000000000000227;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-14T01:00:00+01:00;100160;-170.0;8;180;5.0;283.75;279.35;74;15000.0;60;6;2;90.0;7;1250.0;35;;;99090.0;;;-1960.0;;;;;;;;9.1;9.8;-10.0;0;0.0;0.0;-60.0;0.2;0.2;0.2;0.2;0.2;;;;;3.0;8;1100.0;7.0;6;1400.0;;;;;;;48.716833, 2.384333;ORLY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Pluie;Pluie, sans congélation, intermittente, faible au moment de l’observation;10.600000000000023;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-14T07:00:00+01:00;100340;300.0;3;240;5.2;280.95;278.45;84;30000.0;1;2;2;75.0;3;450.0;35;20;12;99250.0;;;-1360.0;280.95;;286.05;;;;;7.1;9.0;-10.0;1;0.0;0.0;-60.0;0.0;0.2;0.2;0.4;0.4;;;;;1.0;6;570.0;3.0;6;1100.0;5.0;0;7200.0;;;;48.716833, 2.384333;ORLY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;7.800000000000011;7.800000000000011;;12.900000000000034;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-14T16:00:00+01:00;100550;-50.0;5;220;5.1;282.15;278.15;76;10520.0;80;8;6;75.0;6;800.0;39;20;10;99470.0;;;-160.0;;;;;;;;8.1;9.7;-10.0;1;0.0;0.0;-30.0;0.2;0.2;0.2;0.4;0.6;;;;;4.0;8;1030.0;5.0;6;1700.0;1.0;9;870.0;;;;48.716833, 2.384333;ORLY;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Averse(s);Averse(s) de pluie, faible(s);9.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-15T22:00:00+01:00;101260;-140.0;8;220;7.5;282.05;280.85;92;25000.0;60;6;6;100.0;7;450.0;37;;;100170.0;;;290.0;;;;;;;;12.4;15.1;-10.0;1;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;6.0;7;300.0;7.0;6;560.0;;;;;;;48.716833, 2.384333;ORLY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Pluie;Pluie, sans congélation, intermittente, faible au moment de l’observation;8.900000000000034;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-19T13:00:00+01:00;102080;-100.0;8;240;6.8;282.15;274.75;60;20000.0;1;0;0;25.0;1;1250.0;31;20;11;100980.0;;;1600.0;;;;;;;;10.7;10.7;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.8;;;;;1.0;8;1000.0;1.0;0;8000.0;;;;;;;48.716833, 2.384333;ORLY;Stationnaire ou en hausse, puis en baisse, ou en baisse, puis en baisse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;9.0;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-02-28T07:00:00+01:00;102900;40.0;3;90;1.2;271.55;268.85;82;30000.0;2;0;0;0.0;0;;30;20;10;101750.0;;;210.0;271.55;;280.75;;;;;1.4;2.1;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.716833, 2.384333;ORLY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;État du ciel inchangé dans l’ensemble;-1.599999999999966;-1.599999999999966;;7.600000000000023;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;2
07149;2022-03-02T19:00:00+01:00;101930;-10.0;5;90;1.6;283.25;275.35;58;10000.0;1;2;2;90.0;3;4600.0;30;27;11;100830.0;;;-570.0;278.65;;285.25;;;;;2.0;3.0;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;4.0;3;4600.0;7.0;0;7800.0;;;;;;;48.716833, 2.384333;ORLY;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;10.100000000000023;5.5;;12.100000000000023;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;3
07149;2022-04-09T14:00:00+02:00;101800;190.0;1;320;2.8;280.35;276.75;78;30000.0;1;2;2;90.0;7;450.0;38;;;100690.0;;;2240.0;;;;;;;;4.8;7.1;-10.0;1;0.0;0.0;-60.0;0.0;0.0;0.0;1.6;19.2;;;;;4.0;8;560.0;7.0;6;800.0;;;;;;;48.716833, 2.384333;ORLY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;Dans l’ensemble, nuages se dissipant ou devenant moins épais;7.2000000000000455;;;;;;48.716833;2.384333;89;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;4
